Tamanho da árvore,Depreciação
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,20
21,0
22,22.7273
23,21.7391
24,25
25,24
26,23.0769
27,25.9259
28,25
29,24.1379
30,23.3333
31,22.5806
32,21.875
33,24.2424
34,23.5294
35,22.8571
36,25
37,24.3243
38,23.6842
39,25.641
40,25
41,24.3902
42,26.1905
43,25.5814
44,25
45,26.6667
46,26.087
47,25.5319
48,27.0833
49,26.5306
50,26
51,27.451
52,26.9231
53,26.4151
54,27.7778
55,27.2727
56,26.7857
57,28.0702
58,27.5862
59,27.1186
60,28.3333
61,27.8689
62,27.4194
63,28.5714
64,28.125
65,27.6923
66,27.2727
67,26.8657
68,26.4706
69,27.5362
70,27.1429
71,26.7606
72,27.7778
73,27.3973
74,27.027
75,28
76,27.6316
77,27.2727
78,28.2051
79,27.8481
80,27.5
81,28.3951
82,28.0488
83,27.7108
84,28.5714
85,28.2353
86,27.907
87,28.7356
88,28.4091
89,28.0899
90,28.8889
91,28.5714
92,28.2609
93,29.0323
94,28.7234
95,28.4211
96,29.1667
97,28.866
98,28.5714
99,29.2929
100,29
101,28.7129
102,29.4118
103,29.1262
104,28.8462
105,29.5238
106,29.2453
107,28.972
108,29.6296
109,29.3578
110,29.0909
111,29.7297
112,29.4643
113,29.2035
114,29.8246
115,29.5652
116,29.3103
117,29.9145
118,29.661
119,29.4118
120,30
121,29.7521
122,29.5082
123,30.0813
124,29.8387
125,29.6
126,30.1587
127,29.9213
128,29.6875
129,30.2326
130,30
131,29.771
132,30.303
133,30.0752
134,29.8507
135,30.3704
136,30.1471
137,29.927
138,29.7101
139,29.4964
140,29.2857
141,29.7872
142,29.5775
143,29.3706
144,29.8611
145,29.6552
146,29.4521
147,29.932
148,29.7297
149,29.5302
150,30
151,29.8013
152,29.6053
153,30.0654
154,29.8701
155,29.6774
156,30.1282
157,29.9363
158,29.7468
159,30.1887
160,30
161,29.8137
162,30.2469
163,30.0613
164,29.878
165,30.303
166,30.1205
167,29.9401
168,30.3571
169,30.1775
170,30
171,30.4094
172,30.2326
173,30.0578
174,30.4598
175,30.2857
176,30.1136
177,30.5085
178,30.3371
179,30.1676
180,30.5556
181,30.3867
182,30.2198
183,30.6011
184,30.4348
185,30.2703
186,30.6452
187,30.4813
188,30.3191
189,30.6878
190,30.5263
191,30.3665
192,30.7292
193,30.5699
194,30.4124
195,30.7692
196,30.6122
197,30.4569
198,30.8081
199,30.6533
200,30.5
201,30.8458
202,30.6931
203,30.5419
204,30.8824
205,30.7317
206,30.5825
207,30.9179
208,30.7692
209,30.622
210,30.9524
211,30.8057
212,30.6604
213,30.9859
214,30.8411
215,30.6977
216,31.0185
217,30.8756
218,30.7339
219,31.0502
220,30.9091
221,30.7692
222,31.0811
223,30.9417
224,30.8036
225,31.1111
226,30.9735
227,30.837
228,31.1404
229,31.0044
230,30.8696
231,31.1688
232,31.0345
233,30.9013
234,31.1966
235,31.0638
236,30.9322
237,31.2236
238,31.0924
239,30.9623
240,31.25
241,31.1203
242,30.9917
243,31.2757
244,31.1475
245,31.0204
246,31.3008
247,31.1741
248,31.0484
249,31.3253
250,31.2
251,31.0757
252,31.3492
253,31.2253
254,31.1024
255,31.3725
256,31.25
257,31.1284
258,31.3953
259,31.2741
260,31.1538
261,31.4176
262,31.2977
263,31.1787
264,31.4394
265,31.3208
266,31.203
267,31.4607
268,31.3433
269,31.2268
270,31.4815
271,31.3653
272,31.25
273,31.5018
274,31.3869
275,31.2727
276,31.5217
277,31.4079
278,31.295
279,31.5412
280,31.4286
281,31.3167
282,31.2057
283,31.0954
284,30.9859
285,31.2281
286,31.1189
287,31.0105
288,31.25
289,31.1419
290,31.0345
291,31.2715
292,31.1644
293,31.058
294,31.2925
295,31.1864
296,31.0811
297,31.3131
298,31.2081
299,31.1037
300,31.3333
301,31.2292
302,31.1258
303,31.3531
304,31.25
305,31.1475
306,31.3725
307,31.2704
308,31.1688
309,31.3916
310,31.2903
311,31.1897
312,31.4103
313,31.3099
314,31.2102
315,31.4286
316,31.3291
317,31.2303
318,31.4465
319,31.348
320,31.25
321,31.4642
322,31.3665
323,31.2693
324,31.4815
325,31.3846
326,31.2883
327,31.4985
328,31.4024
329,31.307
330,31.5152
331,31.4199
332,31.3253
333,31.5315
334,31.4371
335,31.3433
336,31.5476
337,31.454
338,31.3609
339,31.5634
340,31.4706
341,31.3783
342,31.5789
343,31.4869
344,31.3953
345,31.5942
346,31.5029
347,31.4121
348,31.6092
349,31.5186
350,31.4286
351,31.6239
352,31.5341
353,31.4448
354,31.6384
355,31.5493
356,31.4607
357,31.6527
358,31.5642
359,31.4763
360,31.6667
361,31.5789
362,31.4917
363,31.6804
364,31.5934
365,31.5068
366,31.694
367,31.6076
368,31.5217
369,31.7073
370,31.6216
371,31.5364
372,31.7204
373,31.6354
374,31.5508
375,31.7333
376,31.6489
377,31.565
378,31.746
379,31.6623
380,31.5789
381,31.7585
382,31.6754
383,31.5927
384,31.7708
385,31.6883
386,31.6062
387,31.7829
388,31.701
389,31.6195
390,31.7949
391,31.7136
392,31.6327
393,31.8066
394,31.7259
395,31.6456
396,31.8182
397,31.738
398,31.6583
399,31.8296
400,31.75
401,31.6708
402,31.8408
403,31.7618
404,31.6832
405,31.8519
406,31.7734
407,31.6953
